时间:2018-08-20 05:43:24  句柄:73    角色:老子在床上曰 地图:D2001 级别:42     事件:老子在床上曰  策略超速使用 - [麻痹]
时间:2018-08-20 08:58:57  句柄:21    角色:刺骨        地图:D71602 级别:46     事件:刺骨  策略超速使用 - [麻痹]
时间:2018-08-20 08:58:59  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 09:02:46  句柄:21    角色:刺骨        地图:D71602 级别:46     事件:刺骨  策略超速使用 - [麻痹]
时间:2018-08-20 09:04:22  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 09:06:18  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 09:06:58  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 09:07:27  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 09:07:48  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 09:08:19  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 09:10:27  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 09:10:48  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 09:10:53  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 09:11:30  句柄:15    角色:销售恶霸犬  地图:Fama3 级别:45     事件:销售恶霸犬  策略超速使用 - [麻痹]
时间:2018-08-20 09:11:38  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 09:11:58  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 09:14:35  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 09:14:42  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 09:15:59  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 09:16:25  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 09:16:32  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 09:21:34  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 09:24:32  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 09:24:57  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 09:25:13  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 09:26:32  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 09:26:55  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 09:32:46  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 09:34:49  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 09:39:51  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 09:43:01  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 09:43:51  句柄:10    角色:等待开区    地图:H007  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 09:43:51  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 09:46:31  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 09:50:51  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 09:54:16  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 09:55:20  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 09:59:52  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 10:09:25  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 10:09:46  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 10:13:07  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 10:13:11  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 10:17:34  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 10:17:52  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 10:21:07  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 10:23:37  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 10:24:00  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 10:27:11  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 10:27:28  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 10:27:36  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 10:32:18  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 10:33:48  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 10:34:50  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 10:35:11  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 10:38:42  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 10:39:37  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 10:40:00  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 10:40:24  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 10:41:25  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 10:41:45  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 10:42:07  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 10:43:25  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 10:47:07  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 10:47:14  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 10:47:56  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 10:48:13  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 10:50:02  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 10:51:00  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 10:51:08  句柄:25    角色:无聊来耍下  地图:11    级别:43     事件:无聊来耍下  策略超速使用 - [麻痹]
时间:2018-08-20 10:51:55  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 10:54:12  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 10:56:06  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 10:56:38  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 10:57:49  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 10:58:16  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 10:58:32  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 10:59:09  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 10:59:28  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:00:06  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:00:33  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:04:03  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:04:13  句柄:41    角色:桃子        地图:ZYT1  级别:48     事件:桃子  策略超速使用 - [麻痹]
时间:2018-08-20 11:05:16  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 11:07:53  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 11:08:37  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 11:08:56  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 11:10:10  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 11:16:28  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:18:39  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:19:13  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 11:23:13  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 11:23:57  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 11:24:31  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 11:24:33  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 11:24:58  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 11:25:04  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 11:25:41  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 11:27:10  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 11:27:48  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 11:28:01  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 11:28:07  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 11:28:27  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 11:29:08  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 11:31:07  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 11:31:10  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:31:36  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:31:58  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:32:23  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:32:45  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:33:17  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:33:27  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 11:33:34  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:33:46  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 11:36:46  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:37:16  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 11:38:55  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 11:39:09  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:41:58  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 11:42:16  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 11:46:38  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 11:47:26  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:49:19  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:50:25  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 11:51:25  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 11:52:28  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 11:52:35  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 11:53:22  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 11:54:28  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 11:57:52  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 11:58:13  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 11:59:08  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 11:59:40  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 12:00:05  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 12:00:33  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 12:03:20  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 12:03:52  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 12:04:08  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 12:09:53  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 12:11:30  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 12:13:29  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 12:14:13  句柄:20    角色:火神        地图:D5074 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 12:18:12  句柄:10    角色:等待开区    地图:D5072 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 12:22:12  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 12:22:55  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 12:30:58  句柄:10    角色:等待开区    地图:H007  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 12:33:26  句柄:10    角色:等待开区    地图:H007  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 12:35:34  句柄:10    角色:等待开区    地图:H007  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 12:36:28  句柄:20    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 12:39:38  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 12:43:24  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 12:45:23  句柄:10    角色:等待开区    地图:H007  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 12:51:23  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 12:53:04  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 12:53:38  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 12:56:52  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 12:58:38  句柄:8     角色:打宝专用    地图:D5072 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
