时间:2018-08-19 00:31:12  句柄:20    角色:一二一      地图:T232  级别:45     事件:一二一  策略超速使用 - [麻痹]
时间:2018-08-19 09:03:00  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 09:03:38  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 09:03:55  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 09:04:36  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 09:05:17  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 09:05:35  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 09:13:01  句柄:13    角色:黑色妖精    地图:H008  级别:46     事件:黑色妖精  策略超速使用 - [麻痹]
时间:2018-08-19 09:13:59  句柄:8     角色:小可爱      地图:D2079 级别:48     事件:小可爱  策略超速使用 - [麻痹]
时间:2018-08-19 09:18:25  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 09:18:51  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 09:19:16  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 09:23:07  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 09:23:31  句柄:22    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 09:23:43  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 09:24:24  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 09:24:29  句柄:17    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 09:25:14  句柄:17    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 09:25:36  句柄:17    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 09:26:13  句柄:22    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 09:26:19  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 09:27:00  句柄:22    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 09:28:42  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 09:29:34  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 09:33:12  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 09:33:42  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 09:35:28  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 09:37:31  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 09:40:11  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 09:43:35  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 09:47:26  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 09:51:40  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 09:53:28  句柄:22    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 09:56:17  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 10:00:12  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 10:00:30  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 10:01:14  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 10:01:35  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 10:03:08  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 10:07:29  句柄:22    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 10:11:54  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 10:12:40  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 10:12:44  句柄:17    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 10:14:06  句柄:17    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 10:16:02  句柄:17    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 10:17:20  句柄:17    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 10:18:15  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 10:20:05  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 10:20:34  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 10:20:52  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 10:23:57  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 10:35:33  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 10:38:42  句柄:17    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 10:40:00  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 10:41:03  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 10:41:59  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 10:42:28  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 10:42:56  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 10:51:27  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 10:59:42  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:00:43  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:10:30  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 11:11:22  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 11:17:12  句柄:22    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 11:17:18  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:17:33  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 11:17:42  句柄:22    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 11:20:03  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 11:20:19  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:21:39  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 11:23:31  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:26:10  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:29:47  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:35:12  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 11:37:02  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:37:50  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:38:11  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:38:43  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:42:10  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:45:11  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:45:29  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:45:49  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:47:00  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:47:28  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:48:07  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:50:07  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:53:48  句柄:20    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 11:55:34  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 11:56:41  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 11:57:57  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 12:00:19  句柄:20    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 12:00:35  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 12:02:14  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 12:04:12  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 12:04:14  句柄:20    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 12:05:02  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 12:05:21  句柄:20    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 12:05:22  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 12:06:09  句柄:20    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 12:06:17  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 12:06:38  句柄:20    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 12:07:13  句柄:20    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 12:07:16  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 12:07:35  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 12:08:58  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 12:10:03  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 12:11:20  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 12:11:42  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 12:12:27  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 12:17:00  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 12:19:59  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 12:21:33  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 12:22:41  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 12:22:59  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 12:23:07  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 12:24:56  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 12:25:20  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 12:26:08  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 12:26:58  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 12:27:14  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 12:31:36  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 12:34:12  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 12:38:33  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 12:39:43  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 12:46:36  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 12:48:42  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 12:50:37  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 12:51:33  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 12:51:53  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 12:53:41  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 12:55:46  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 12:57:36  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 12:59:23  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 13:00:43  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 13:01:09  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 13:01:27  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 13:01:53  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 13:02:08  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 13:02:14  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 13:03:40  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 13:06:18  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 13:11:03  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 13:11:26  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 13:19:50  句柄:11    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 13:21:03  句柄:11    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 13:23:07  句柄:11    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 13:24:53  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 13:28:22  句柄:5     角色:武器大师仍无形 地图:3     级别:32     事件:武器大师仍无形  策略超速使用 - [麻痹]
时间:2018-08-19 13:30:09  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 13:32:50  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 13:34:18  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 13:39:03  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 13:39:22  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 13:40:16  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 13:41:01  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 13:42:07  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 13:42:25  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 13:42:48  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 13:43:04  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 13:43:23  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 13:43:40  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 13:44:32  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 13:46:05  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 13:48:07  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 13:49:30  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 13:54:15  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 13:55:01  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 13:58:32  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 13:59:27  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 14:01:15  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 14:03:42  句柄:11    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 14:04:14  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 14:05:06  句柄:17    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
