2016-06-24 01:27:28  Exceptio:“Ï≥£√Ë ˆ:MHBchsvmJ7sEoWAmQkItnkASCZpBammoWFIpkk84OQpMcgmSTko9nE44MZAEaiEK|Group:107
2016-06-24 01:39:38  Exceptio:“Ï≥£√Ë ˆ:MHBchrZ0MwEEoWAmQkItgE1qPZ5JammoWFIpkk84JQpKajGSS0ItmEo4LZ4EUjEK|Group:106

2016-06-24 01:39:39  Exceptio:“Ï≥£√Ë ˆ:MHBchrZ0MwEEoWAmQkItgE1qPZ5JammoWFIpkk84JQpKajGSS0ItmEo4LZ4EUjEK|Group:106

2016-06-24 01:39:40  Exceptio:“Ï≥£√Ë ˆ:MHBchrZ0MwEEoWAmQkItgE1qPZ5JammoWFIpkk84JQpKajGSS0ItmEo4LZ4EUjEK|Group:106

2016-06-24 01:39:40  Exceptio:“Ï≥£√Ë ˆ:MHBchrZ0MwEEoWAmQkItgE1qPZ5JammoWFIpkk84JQpKajGSS0ItmEo4LZ4EUjEK|Group:106

2016-06-24 01:39:41  Exceptio:“Ï≥£√Ë ˆ:MHBchrZ0MwEEoWAmQkItgE1qPZ5JammoWFIpkk84JQpKajGSS0ItmEo4LZ4EUjEK|Group:106

2016-06-24 01:39:42  Exceptio:“Ï≥£√Ë ˆ:MHBchrZ0MwEEoWAmQkItgE1qPZ5JammoWFIpkk84JQpKajGSS0ItmEo4LZ4EUjEK|Group:106

2016-06-24 01:39:42  Exceptio:“Ï≥£√Ë ˆ:MHBchrZ0MwEEoWAmQkItgE1qPZ5JammoWFIpkk84JQpKajGSS0ItmEo4LZ4EUjEK|Group:106

2016-06-24 01:39:43  Exceptio:“Ï≥£√Ë ˆ:MHBchrZ0MwEEoWAmQkItgE1qPZ5JammoWFIpkk84JQpKajGSS0ItmEo4LZ4EUjEK|Group:106

2016-06-24 01:39:44  Exceptio:“Ï≥£√Ë ˆ:MHBchrZ0MwEEoWAmQkItgE1qPZ5JammoWFIpkk84JQpKajGSS0ItmEo4LZ4EUjEK|Group:106

2016-06-24 01:39:55  Exceptio:“Ï≥£√Ë ˆ:MHBchrZ0MwEEoWAmQkItgE1qPZ5JammoWFIpkk84MQpMcg2CTWIpmE44LZAEUjkK|Group:106

2016-06-24 01:39:56  Exceptio:“Ï≥£√Ë ˆ:MHBchrZ0MwEEoWAmQkItgE1qPZ5JammoWFIpkk84MQpMcg2CTWIpmE44LZAEUjkK|Group:106

2016-06-24 01:39:57  Exceptio:“Ï≥£√Ë ˆ:MHBchrZ0MwEEoWAmQkItgE1qPZ5JammoWFIpkk84MQpMcg2CTWIpmE44LZAEUjkK|Group:106

2016-06-24 02:22:27  Exceptio:“Ï≥£√Ë ˆ:MHBchsvmJ7sEoWAmQno9gkpaKZhBSmmoWFIpkk84KQpLSj2aQVotgEo4CZIEYiEK|Group:82

2016-06-24 02:24:44  Exceptio:“Ï≥£√Ë ˆ:MHBchsvmJ7sEoWAmQno9gkpaKZhBSmmoWFIpkk84JQpOSjWAT2oJgE44NZwEYg0K|Group:82

2016-06-24 03:14:12  Exceptio:“Ï≥£√Ë ˆ:MHBchsvmJ7sEoWAmQno9gkpaKZhBSmmoWFIpkk84OQpLcimUTGoxmkg4NZQEGjkK|Group:81

2016-06-24 03:14:13  Exceptio:“Ï≥£√Ë ˆ:MHBchsvmJ7sEoWAmQno9gkpaKZhBSmmoWFIpkk84OQpLcimUTGoxmkg4NZQEGjkK|Group:81

2016-06-24 03:14:13  Exceptio:“Ï≥£√Ë ˆ:MHBchsvmJ7sEoWAmQno9gkpaKZhBSmmoWFIpkk84OQpLcimUTGoxmkg4NZQEGjkK|Group:81

2016-06-24 03:15:03  Exceptio:“Ï≥£√Ë ˆ:MHBchsvmJ7sEoWAmQno9gkpaKZhBSmmoWFIpkk84MQpLciWCQRI9gkw4NZAEYjEK|Group:82

2016-06-24 03:15:04  Exceptio:“Ï≥£√Ë ˆ:MHBchsvmJ7sEoWAmQno9gkpaKZhBSmmoWFIpkk84NQpLciWCQRI9gkw4NZAEYj0K|Group:82

2016-06-24 03:15:05  Exceptio:“Ï≥£√Ë ˆ:MHBchsvmJ7sEoWAmQno9gkpaKZhBSmmoWFIpkk84KQpMcgmSTxopgkg4NZYEYj0K|Group:82

2016-06-24 03:15:10  Exceptio:“Ï≥£√Ë ˆ:MHBchsvmJ7sEoWAmQno9gkpaKZhBSmmoWFIpkk84PQpOSiGeT1I5kkA4NZAEYg0K|Group:82

2016-06-24 03:15:11  Exceptio:“Ï≥£√Ë ˆ:MHBchsvmJ7sEoWAmQno9gkpaKZhBSmmoWFIpkk84OQpLcimUTGoxmkg4NZYEGjkK|Group:82

2016-06-24 03:15:12  Exceptio:“Ï≥£√Ë ˆ:MHBchsvmJ7sEoWAmQno9gkpaKZhBSmmoWFIpkk84OQpLcimUTGoxmkg4NZYEGjkK|Group:82

2016-06-24 03:15:13  Exceptio:“Ï≥£√Ë ˆ:MHBchsvmJ7sEoWAmQno9gkpaKZhBSmmoWFIpkk84IQpLYiWaQBopkkg4NZ4EYgkK|Group:82

2016-06-24 05:28:25  Exceptio:“Ï≥£√Ë ˆ:Yg2wAYOfLt5nvx4ym9OFPwo3yECGS3otlk5KMYJA2l2ySVopnARCGJRKcg2AS2otngRSPZoEaiEK|Group:73

2016-06-24 05:28:25  Exceptio:“Ï≥£√Ë ˆ:Yg2wAYOfLt5nvx4ym9OFPwo3yECGS3otlk5KMYJA2l2ySVopnARCGJRKcg2AS2otngRSPZoEaiEK|Group:73

2016-06-24 05:28:26  Exceptio:“Ï≥£√Ë ˆ:Yg2wAYOfLt5nvx4ym9OFPwo3yECGS3otlk5KMYJA2l2ySVopnARCGJRKcg2AS2otngRSPZoEaiEK|Group:73

2016-06-24 05:28:29  Exceptio:“Ï≥£√Ë ˆ:Yg2wAYOfLt5nvx4ym9OFPwo3yECGS3otlk5KMYJA2l2ySVopnARKGJZNUiGYTBINlgRSPZAEcjUK|Group:73

2016-06-24 05:28:30  Exceptio:“Ï≥£√Ë ˆ:Yg2wAYOfLt5nvx4ym9OFPwo3yECGS3otlk5KMYJA2l2ySVopnARKGJZNUiGYTBINlgRSPZAEcjUK|Group:73

2016-06-24 05:28:30  Exceptio:“Ï≥£√Ë ˆ:Yg2wAYOfLt5nvx4ym9OFPwo3yECGS3otlk5KMYJA2l2ySVopnARKGJZNUiGYTBINlgRSPZAEcjUK|Group:73

2016-06-24 05:28:32  Exceptio:“Ï≥£√Ë ˆ:Yg2wAYOfLt5nvx4ym9OFPwo3yECGS3otlk5KMYJA2l2ySVopnARCGJRAQj2STnoNngRSPZAEcg0K|Group:73

2016-06-24 05:28:32  Exceptio:“Ï≥£√Ë ˆ:Yg2wAYOfLt5nvx4ym9OFPwo3yECGS3otlk5KMYJA2l2ySVopnARCGJRAQj2STnoNngRSPZAEcg0K|Group:73

2016-06-24 05:28:34  Exceptio:“Ï≥£√Ë ˆ:Yg2wAYOfLt5nvx4ym9OFPwo3yECGS3otlk5KMYJA2l2ySVopnARCGJRNai2eQXIxggRSPZIEcg0K|Group:73

2016-06-24 05:28:35  Exceptio:“Ï≥£√Ë ˆ:Yg2wAYOfLt5nvx4ym9OFPwo3yECGS3otlk5KMYJA2l2ySVopnARKGJRNai2eQXIxggRSOYAEcgkK|Group:73

2016-06-24 05:28:36  Exceptio:“Ï≥£√Ë ˆ:Yg2wAYOfLt5nvx4ym9OFPwo3yECGS3otlk5KMYJA2l2ySVopnARKGJRNai2eQXIxggRSOYAEcgkK|Group:73

2016-06-24 08:28:41  Exceptio:“Ï≥£√Ë ˆ:mTwoQq2iZ78evnPMdvoKN8hAhksSNYBNWj2WQNpdsklaKZwEShiaTHoNgEp6OYIEUjWeBHoNCg==|Group:89

2016-06-24 08:28:41  Exceptio:“Ï≥£√Ë ˆ:mTwoQq2iZ78evnPMdvoKN8hAhksSNYBNWj2WQNpdsklaKZwEShiaTHoNgEp6OYIEUjWeBHoNCg==|Group:89

2016-06-24 08:28:46  Exceptio:“Ï≥£√Ë ˆ:mTwoQq2iZ78evnPMdvoKN8hAhksSNYBNWj2WQNpdsklaKZwEShiaTHoNgEp6OYIEUjWeBHoNCg==|Group:89

2016-06-24 08:28:47  Exceptio:“Ï≥£√Ë ˆ:mTwoQq2iZ78evnPMdvoKN8hAhksSNYBNWj2WQNpdsklaKZwEShiaTHoNgEp6OYIEUjWeBHoNCg==|Group:89

2016-06-24 08:28:48  Exceptio:“Ï≥£√Ë ˆ:mTwoQq2iZ78evnPMdvoKN8hAhksSNYBNWj2WQNpdsklaKZwEShiaTHoNgEp6OYIEUjWeBHoNCg==|Group:89

2016-06-24 08:28:48  Exceptio:“Ï≥£√Ë ˆ:mTwoQq2iZ78evnPMdvoKN8hAhksSNYBNWj2WQNpdsklaKZwEShiaTHoNgEp6OYIEUjWeBHoNCg==|Group:89

2016-06-24 08:28:49  Exceptio:“Ï≥£√Ë ˆ:mTwoQq2iZ78evnPMdvoKN8hAhksSNYBNWj2WQNpdsklaKZwEShiaTHoNgEp6OYIEUjWeBHoNCg==|Group:89

2016-06-24 08:28:50  Exceptio:“Ï≥£√Ë ˆ:mTwoQq2iZ78evnPMdvoKN8hAhksSNYBNWj2WQNpdsklaKZwEShiaTHoNgEp6OYIEUjWeBHoNCg==|Group:89

2016-06-24 08:28:50  Exceptio:“Ï≥£√Ë ˆ:mTwoQq2iZ78evnPMdvoKN8hAhksSNYBNWj2WQNpdsklaKZwEShiaTHoNgEp6OYIEUjWeBHoNCg==|Group:89

2016-06-24 08:28:51  Exceptio:“Ï≥£√Ë ˆ:mTwoQq2iZ78evnPMdvoKN8hAhksSNYBNWj2WQNpdsklaKZwEShiaTHoNgEp6OYIEUjWeBHoNCg==|Group:89

2016-06-24 08:28:52  Exceptio:“Ï≥£√Ë ˆ:mTwoQq2iZ78evnPMdvoKN8hAhksSNYBNWj2WQNpdsklaKZwEShiaTHoNgEp6OYIEUjWeBHoNCg==|Group:89

2016-06-24 08:28:52  Exceptio:“Ï≥£√Ë ˆ:mTwoQq2iZ78evnPMdvoKN8hAhksSNYBNWj2WQNpdsklaKZwEShiaTHoNgEp6OYIEUjWeBHoNCg==|Group:89

2016-06-24 08:31:37  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTg5lE8SNYBJQjEKSUohCklaPQo=|Group:89

2016-06-24 08:31:37  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTg5lE8SNYBJQjEKSUohCklaPQo=|Group:89

2016-06-24 08:31:38  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTg5lE8SNYBJQjEKSUohCklaPQo=|Group:89

2016-06-24 08:31:39  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTg5lE8SNYBJQjEKSUohCklaPQo=|Group:89

2016-06-24 08:31:39  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTg5lE8SNYBJQjEKSUohCklaPQo=|Group:89

2016-06-24 08:31:40  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTg5lE8SNYBJQjEKSUohCklaPQo=|Group:89

2016-06-24 08:31:41  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTg5lE8SNYBJQjEKSUohCklaPQo=|Group:89

2016-06-24 08:31:41  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTg5lE8SNYBJQjEKSUohCklaPQo=|Group:89

2016-06-24 08:31:42  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTg5lE8SNYBJQjEKSUohCklaPQo=|Group:89

2016-06-24 08:31:43  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTg5lE8SNYBJQjEKSUohCklaPQo=|Group:89

2016-06-24 08:31:44  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTg5lE8SNYBJQjEKSUohCklaPQo=|Group:89

2016-06-24 08:31:44  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTg5lE8SNYBJQjEKSUohCklaPQo=|Group:89

2016-06-24 08:31:45  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTg5lE8SNYBJQjEKSUohCklaPQo=|Group:89

2016-06-24 08:31:45  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTg5lE8SNYBJQjEKSUohCklaPQo=|Group:89

2016-06-24 08:31:46  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTg5lE8SNYBJQjEKSUohCklaPQo=|Group:89

2016-06-24 08:31:47  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTg5lE8SNYBJQjEKSUohCklaPQo=|Group:89

2016-06-24 08:32:10  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKSjglnE1iLYBPUiEKSUIxCklSJQo=|Group:88

2016-06-24 08:32:11  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKSjglnE1iLYBPUiEKSUIxCklSJQo=|Group:88

2016-06-24 08:32:12  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKSjglnE1iLYBPUiEKSUIxCklSJQo=|Group:88

2016-06-24 08:32:12  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKSjglnE1iLYBPUiEKSUIxCklSJQo=|Group:88

2016-06-24 08:32:13  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKSjglnE1iLYBPUiEKSUIxCklSJQo=|Group:88

2016-06-24 08:32:13  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKSjglnE1iLYBPUiEKSUIxCklSJQo=|Group:88

2016-06-24 08:32:52  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTDghnE9KCZpAEjEKSXINCkl6OQo=|Group:90

2016-06-24 08:32:52  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTDghnE9KCZpAEjEKSXINCkl6OQo=|Group:90

2016-06-24 08:32:53  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTDghnE9KCZpAEjEKSXINCkl6OQo=|Group:90

2016-06-24 08:32:54  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTDghnE9KCZpAEjEKSXINCkl6OQo=|Group:90

2016-06-24 08:32:54  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTDghnE9KCZpAEjEKSXINCkl6OQo=|Group:90

2016-06-24 08:32:55  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTDghnE9KCZpAEjEKSXINCkl6OQo=|Group:90

2016-06-24 08:32:56  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTDghnE9KCZpAEjEKSXINCkl6OQo=|Group:90

2016-06-24 08:32:56  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTDghnE9KCZpAEjEKSXINCkl6OQo=|Group:90

2016-06-24 08:32:57  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTDghnE9KCZpAEjEKSXINCkl6OQo=|Group:90

2016-06-24 08:32:57  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTDghnE9KCZpAEjEKSXINCkl6OQo=|Group:90

2016-06-24 08:32:58  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTDghnE9KCZpAEjEKSXINCkl6OQo=|Group:90

2016-06-24 08:32:59  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTDghnE9KCZpAEjEKSXINCkl6OQo=|Group:90

2016-06-24 08:33:00  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTghnE9KCZpAEjEKSXIJCkl6OQo=|Group:90

2016-06-24 08:33:00  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTghnE9KCZpAEjEKSXIJCkl6OQo=|Group:90

2016-06-24 08:33:01  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTghnE9KCZpAEjEKSXIJCkl6OQo=|Group:90

2016-06-24 08:33:02  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTghnE9KCZpAEjEKSXIJCkl6OQo=|Group:90

2016-06-24 08:33:02  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTghnE9KCZpAEjEKSXIJCkl6OQo=|Group:90

2016-06-24 08:33:03  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTghnE9KCZpAEjEKSXIJCkl6OQo=|Group:90

2016-06-24 08:33:04  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKTTghnE9KCZpAEjEKSXIJCkl6OQo=|Group:90

2016-06-24 08:33:20  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKSzglgkBiMZBKQiEKSXI5Ckl6NQo=|Group:90

2016-06-24 08:33:21  Exceptio:“Ï≥£√Ë ˆ:MHBchr42I4m/3Lp/oD4YbBqIAZRJagmaS1IxgliyaZBIWjUKSjg5kkB6OZJNejkKShoxCkoaLQo=|Group:90

2016-06-24 08:33:21  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKSzglgkBiMZBKQiEKSXI5Ckl6NQo=|Group:90

2016-06-24 08:33:22  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKSzglgkBiMZBKQiEKSXI5Ckl6NQo=|Group:90

2016-06-24 08:33:22  Exceptio:“Ï≥£√Ë ˆ:MHBchr42I4m/3Lp/oD4YbBqIAZRJagmaS1IxgliyaZBIWjUKSjg5kkB6OZJNejkKShoxCkoaLQo=|Group:90

2016-06-24 08:33:22  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKSzglgkBiMZBKQiEKSXI5Ckl6NQo=|Group:90

2016-06-24 08:33:22  Exceptio:“Ï≥£√Ë ˆ:MHBchr42I4m/3Lp/oD4YbBqIAZRJagmaS1IxgliyaZBIWjUKSjg5kkB6OZJNejkKShoxCkoaLQo=|Group:90

2016-06-24 08:33:23  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKSzglgkBiMZBKQiEKSXI5Ckl6NQo=|Group:90

2016-06-24 08:33:23  Exceptio:“Ï≥£√Ë ˆ:MHBchr42I4m/3Lp/oD4YbBqIAZRJagmaS1IxgliyaZBIWjUKSjg5kkB6OZJNejkKShoxCkoaLQo=|Group:90

2016-06-24 08:33:24  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKSzglgkBiMZBKQiEKSXI5Ckl6NQo=|Group:90

2016-06-24 08:33:24  Exceptio:“Ï≥£√Ë ˆ:MHBchr42I4m/3Lp/oD4YbBqIAZRJagmaS1IxgliyaZBIWjUKSjg5kkB6OZJNejkKShoxCkoaLQo=|Group:90

2016-06-24 08:33:24  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKSzglgkBiMZBKQiEKSXI5Ckl6NQo=|Group:90

2016-06-24 08:33:24  Exceptio:“Ï≥£√Ë ˆ:MHBchr42I4m/3Lp/oD4YbBqIAZRJagmaS1IxgliyaZBIWjUKSjg5kkB6OZJNejkKShoxCkoaLQo=|Group:90

2016-06-24 08:33:25  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKSzglgkBiMZBKQiEKSXI5Ckl6NQo=|Group:90

2016-06-24 08:33:25  Exceptio:“Ï≥£√Ë ˆ:MHBchr42I4m/3Lp/oD4YbBqIAZRJagmaS1IxgliyaZBIWjUKSjg5kkB6OZJNejkKShoxCkoaLQo=|Group:90

2016-06-24 08:33:26  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKSzglgkBiMZBKQiEKSXI5Ckl6NQo=|Group:90

2016-06-24 08:33:26  Exceptio:“Ï≥£√Ë ˆ:MHBchr42I4m/3Lp/oD4YbBqIAZRJagmaS1IxgliyaZBIWjUKSjg5kkB6OZJNejkKShoxCkoaLQo=|Group:90

2016-06-24 08:33:26  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKSzglgkBiMZBKQiEKSXI5Ckl6NQo=|Group:90

2016-06-24 08:33:27  Exceptio:“Ï≥£√Ë ˆ:MHBchr42I4m/3Lp/oD4YbBqIAZRJagmaS1IxgliyaZBIWjUKSjg5kkB6OZJNejkKShoxCkoaLQo=|Group:90

2016-06-24 08:33:27  Exceptio:“Ï≥£√Ë ˆ:MHBchrZNwn3Adeqbzf0YbBqIAZRBYg2YSHIhgliyaZBIWjUKSzglgkBiMZBKQiEKSXI5Ckl6NQo=|Group:90

2016-06-24 08:33:27  Exceptio:“Ï≥£√Ë ˆ:MHBchr42I4m/3Lp/oD4YbBqIAZRJagmaS1IxgliyaZBIWjUKSjg5kkB6OZJNejkKShoxCkoaLQo=|Group:90

2016-06-24 08:33:28  Exceptio:“Ï≥£√Ë ˆ:MHBchr42I4m/3Lp/oD4YbBqIAZRJagmaS1IxgliyaZBIWjUKSjg5kkB6OZJNejkKShoxCkoaLQo=|Group:90

2016-06-24 08:34:06  Exceptio:“Ï≥£√Ë ˆ:mTwoQq2iZ78evnPMdvoKN8hAhksSNYBNWj2WQNpdsklaKZwEehiUSVotkE5qIZoEUjWWBBIJCg==|Group:91

2016-06-24 08:34:07  Exceptio:“Ï≥£√Ë ˆ:mTwoQq2iZ78evnPMdvoKN8hAhksSNYBNWj2WQNpdsklaKZwEehiUSVotkE5qIZoEUjWWBBIJCg==|Group:91

2016-06-24 08:34:07  Exceptio:“Ï≥£√Ë ˆ:mTwoQq2iZ78evnPMdvoKN8hAhksSNYBNWj2WQNpdsklaKZwEehiUSVotkE5qIZoEUjWWBBIJCg==|Group:91

2016-06-24 08:34:08  Exceptio:“Ï≥£√Ë ˆ:mTwoQq2iZ78evnPMdvoKN8hAhksSNYBNWj2WQNpdsklaKZwEehiUSVotkE5qIZoEUjWWBBIJCg==|Group:91

