;地图 x y 名称 范围 数量 时间 集中刷几率(0~100) 刷新模式(0~1) 集中点X 集中点Y
代码  x     y     名称          范围  数量  时间
62	300	150	魔龙刀兵	150	10	30
62	300	150	魔龙破甲兵	150	10	30
62	300	150	魔龙射手	100	10	30
62	300	150	魔龙刀兵	100	10	30
62	300	150	魔龙破甲兵	100	10	30
;-------------------------------------------------------------大爆
62	300	150	魔龙邪眼0	150	1	10
62	300	150	魔龙血蛙0	150	1	10
62	300	150	魔龙刺蛙0	150	1	10
62	300	150	魔龙射手0	150	1	10
62	300	150	魔龙刀兵0	150	1	10
62	300	150	魔龙破甲兵0	150	1	10

;〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓东林间胜地
611	150	130	魔龙邪眼	150	20	15
611	150	130	魔龙邪眼	50	20	15
611	150	130	魔龙血蛙	150	10	10
611	150	130	魔龙血蛙	150	10	10
611	150	130	魔龙刺蛙	150	10	10
611	150	130	魔龙刺蛙	150	10	10
611	150	130	魔龙射手	150	30	30
611	150	130	魔龙刀兵	150	30	30
611	150	130	魔龙破甲兵	150	30	30
;-------------------------------------------------------------强力
611	150	130	魔龙射手1	150	5	20
611	150	130	魔龙刀兵1	150	5	20
611	150	130	魔龙破甲兵1	150	5	20
;-------------------------------------------------------------大爆
611	150	130	魔龙邪眼0	150	1	10
611	150	130	魔龙血蛙0	150	1	10
611	150	130	魔龙刺蛙0	150	1	10
611	150	130	魔龙射手0	150	1	10
611	150	130	魔龙刀兵0	150	1	10
611	150	130	魔龙破甲兵0	150	1	10

;〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓魔龙旧寨
612	150	150	魔龙邪眼	250	20	15
612	150	150	魔龙邪眼	250	20	15
612	150	150	魔龙邪眼	100	20	15
612	150	150	魔龙血蛙	250	10	10
612	150	150	魔龙血蛙	250	10	10
612	150	150	魔龙刺蛙	250	10	10
612	150	150	魔龙刺蛙	250	10	10
612	150	150	魔龙射手	250	10	30
612	150	150	魔龙刀兵	250	10	30
612	150	150	魔龙破甲兵	250	10	30
612	150	150	魔龙射手	250	30	30
612	150	150	魔龙刀兵	250	30	30
612	150	150	魔龙破甲兵	250	30	30
;-------------------------------------------------------------强力
612	150	150	魔龙射手1	250	5	20
612	150	150	魔龙刀兵1	250	5	20
612	150	150	魔龙破甲兵1	250	5	20
;-------------------------------------------------------------大爆
612	150	150	魔龙邪眼0	250	1	10
612	150	150	魔龙血蛙0	250	1	10
612	150	150	魔龙刺蛙0	250	1	10
612	150	150	魔龙射手0	250	1	10
612	150	150	魔龙刀兵0	250	1	10
612	150	150	魔龙破甲兵0	250	1	10

;〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓魔龙祭坛
613	150	160	魔龙邪眼	150	10	15
613	150	160	魔龙邪眼	150	10	15
613	150	160	魔龙邪眼	100	10	15
613	150	160	魔龙血蛙	150	10	10
613	150	160	魔龙血蛙	150	10	10
613	150	160	魔龙刺蛙	150	10	10
613	150	160	魔龙刺蛙	150	10	10
613	150	160	魔龙射手	150	20	30
613	150	160	魔龙刀兵	150	20	30
613	150	160	魔龙破甲兵	150	20	30
613	150	160	魔龙射手	100	10	30
613	150	160	魔龙刀兵	100	10	30
613	150	160	魔龙破甲兵	100	10	30
;-------------------------------------------------------------强力
613	150	160	魔龙射手1	150	5	20
613	150	160	魔龙刀兵1	150	5	20
613	150	160	魔龙破甲兵1	150	5	20
;-------------------------------------------------------------大爆
613	150	160	魔龙邪眼0	150	1	10
613	150	160	魔龙血蛙0	150	1	10
613	150	160	魔龙刺蛙0	150	1	10
613	150	160	魔龙射手0	150	1	10
613	150	160	魔龙刀兵0	150	1	10
613	150	160	魔龙破甲兵0	150	1	10

;〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓西林间胜地
621	300	110	魔龙邪眼	200	10	15
621	300	110	魔龙邪眼	50	10	15
621	300	110	魔龙血蛙	200	10	10
621	300	110	魔龙血蛙	200	10	10
621	300	110	魔龙刺蛙	200	10	10
621	300	110	魔龙刺蛙	200	10	10
621	300	110	魔龙射手	200	20	30
621	300	110	魔龙刀兵	200	30	30
621	300	110	魔龙破甲兵	200	20	30
621	300	110	魔龙射手	50	10	30
621	300	110	魔龙刀兵	50	10	30
621	300	110	魔龙破甲兵	50	10	30
;-------------------------------------------------------------强力
621	300	110	魔龙射手1	200	5	20
621	300	110	魔龙刀兵1	200	5	20
621	300	110	魔龙破甲兵1	200	5	20
;-------------------------------------------------------------大爆
621	300	110	魔龙邪眼0	200	1	10
621	300	110	魔龙血蛙0	200	1	10
621	300	110	魔龙刺蛙0	200	1	10
621	300	110	魔龙射手0	200	1	10
621	300	110	魔龙刀兵0	200	1	10
621	300	110	魔龙破甲兵0	200	1	10

;〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓魔龙沼泽

622	150	150	魔龙邪眼	250	30	15
622	150	150	魔龙邪眼	250	20	15
622	150	150	魔龙刺蛙	250	20	10
622	150	150	魔龙刺蛙	250	20	10
622	150	150	魔龙射手	250	20	30
622	150	150	魔龙刀兵	250	20	30
622	150	150	魔龙破甲兵	250	20	30
622	150	150	魔龙射手	250	20	30
622	150	150	魔龙刀兵	250	20	30
622	150	150	魔龙破甲兵	250	20	30
;-------------------------------------------------------------强力
622	150	150	魔龙射手1	250	5	20
622	150	150	魔龙刀兵1	250	5	20
622	150	150	魔龙破甲兵1	250	5	20
;-------------------------------------------------------------大爆
622	150	150	魔龙邪眼0	250	1	10
622	150	150	魔龙血蛙0	250	1	10
622	150	150	魔龙刺蛙0	250	1	10
622	150	150	魔龙射手0	250	1	10
622	150	150	魔龙刀兵0	250	1	10
622	150	150	魔龙破甲兵0	250	1	10

622	256	94	魔龙邪眼0	0	1	65

;〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓魔龙殿

EM100	14	16	魔龙力士2	5	10	60
EM100	14	16	魔龙力士2	5	15	60
EM100	14	16	魔龙力士3	5	1	60
EM100	14	16	魔龙力士3	5	2	50

;〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓魔龙岭

63	150	150	魔龙邪眼	250	30	15
63	150	150	魔龙邪眼	250	20	15
63	150	150	魔龙刺蛙	250	20	10
63	150	150	魔龙刺蛙	250	20	10
63	150	150	魔龙射手	250	20	30
63	150	150	魔龙刀兵	250	20	30
63	150	150	魔龙破甲兵	250	20	30
63	150	150	魔龙射手	250	20	30
63	150	150	魔龙刀兵	250	20	30
63	150	150	魔龙破甲兵	250	20	30
;-------------------------------------------------------------强力
63	150	150	魔龙射手1	250	5	20
63	150	150	魔龙刀兵1	250	5	20
63	150	150	魔龙破甲兵1	250	5	20
;-------------------------------------------------------------大爆
63	150	150	魔龙邪眼0	250	1	10
63	150	150	魔龙血蛙0	250	1	10
63	150	150	魔龙刺蛙0	250	1	10
63	150	150	魔龙射手0	250	1	10
63	150	150	魔龙刀兵0	250	1	10
63	150	150	魔龙破甲兵0	250	1	10

;〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓东魔龙关
632	100	100	角蝇		150	6	10
632	100	100	魔龙射手	150	20	30
632	100	100	魔龙射手	150	15	30
632	100	100	魔龙刀兵	150	15	30
632	100	100	魔龙刀兵	150	10	30
632	100	100	魔龙破甲兵	150	10	30
632	100	100	魔龙破甲兵	150	10	30
632	50	150	魔龙射手	60	20	30
632	50	150	魔龙刀兵	60	15	30
632	50	150	魔龙破甲兵	60	10	30
632	50	150	角蝇		60	4	10
632	50	150	魔龙刀兵1	60	2	30
632	50	150	魔龙破甲兵1	60	2	30
632	50	150	魔龙射手1	60	2	30
632	56	44	角蝇		0	1	5
632	53	47	角蝇		0	1	3
632	52	42	触龙神		0	1	60 1
632	30	33	角蝇		2	1	8
632	35	30	角蝇		2	1	8
632	43	34	角蝇		2	1	8
632	50	40	角蝇		1	1	8
632	40	30	魔龙刀兵	10	5	30
632	40	30	魔龙破甲兵	10	3	30
632	40	30	魔龙刀兵	20	15	30
632	40	30	魔龙破甲兵	20	15	30
632	40	30	魔龙射手	20	15	30
632	40	30	魔龙刀兵1	20	2	30
632	40	30	魔龙破甲兵1	20	2	30
632	40	30	魔龙射手1	20	2	30

;〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓西魔龙关
631	96	24	魔龙刀兵	10	5	30
631	96	24	魔龙破甲兵	10	5	30
631	96	24	魔龙射手	10	5	30
631	96	24	魔龙刀兵	10	5	30
631	96	24	魔龙破甲兵	10	5	30
631	96	24	魔龙射手	10	5	30
631	96	24	魔龙刀兵1	10	1	30
631	96	24	魔龙破甲兵1	10	1	30
631	96	24	魔龙射手1	10	1	30
631	150	150	魔龙射手	250	15	10
631	150	150	魔龙射手	250	15	10
631	150	150	魔龙射手	250	5	10
631	150	150	魔龙刀兵	250	15	30
631	150	150	魔龙刀兵	250	10	30
631	150	150	魔龙刀兵	250	5	30
631	150	150	魔龙破甲兵	250	10	30
631	150	150	魔龙破甲兵	250	10	30
631	150	150	魔龙破甲兵	250	5	30
631	150	150	魔龙射手1	250	5	30
631	150	150	魔龙刀兵1	250	5	30
631	150	150	魔龙破甲兵1	250	5	30

;〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓魔龙谷

64	150	150	魔龙邪眼	250	30	15
64	150	150	魔龙邪眼	250	20	15
64	150	150	魔龙刺蛙	250	20	10
64	150	150	魔龙刺蛙	250	20	10
64	150	150	魔龙射手	250	20	30
64	150	150	魔龙刀兵	250	20	30
64	150	150	魔龙破甲兵	250	20	30
64	150	150	魔龙射手	250	20	30
64	150	150	魔龙刀兵	250	20	30
64	150	150	魔龙破甲兵	250	20	30
;-------------------------------------------------------------强力
64	150	150	魔龙射手1	250	5	20
64	150	150	魔龙刀兵1	250	5	20
64	150	150	魔龙破甲兵1	250	5	20
;-------------------------------------------------------------大爆
64	150	150	魔龙邪眼0	250	1	10
64	150	150	魔龙血蛙0	250	1	10
64	150	150	魔龙刺蛙0	250	1	10
64	150	150	魔龙射手0	250	1	10
64	150	150	魔龙刀兵0	250	1	10
64	150	150	魔龙破甲兵0	250	1	10

;〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓龙源血路
65	150	150	魔龙邪眼	250	20	15
65	150	150	魔龙刺蛙	250	20	10
65	150	50	魔龙射手	150	25	10
65	150	50	魔龙射手	150	20	10
65	150	50	魔龙刀兵	150	20	30
65	150	50	魔龙刀兵	150	15	30
65	150	50	魔龙破甲兵	150	15	30
65	150	50	魔龙破甲兵	150	10	30
65	100	150	魔龙射手	50	15	30
65	100	150	魔龙刀兵	50	10	30
65	100	150	魔龙破甲兵	50	10	30
;-------------------------------------------------------------强力
65	150	150	魔龙射手1	250	5	30
65	150	150	魔龙刀兵1	250	5	30
65	150	150	魔龙破甲兵1	250	5	30
65	150	150	魔龙战将	200	1	60
65	150	150	魔龙巨蛾	200	1	60
65	150	150	魔龙力士	200	1	60
;-------------------------------------------------------------大爆
65	150	150	魔龙射手0	250	2	15
65	150	150	魔龙刀兵0	250	2	15
65	150	150	魔龙破甲兵0	250	2	15

;〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓魔龙血域
66	150	150	魔龙邪眼	250	20	15
66	150	150	魔龙邪眼	250	20	15
66	150	150	魔龙刺蛙	250	20	10
66	150	150	魔龙刺蛙	250	20	10
66	150	150	魔龙射手	250	20	30
66	150	150	魔龙刀兵	250	20	30
66	150	150	魔龙破甲兵	250	30	30
66	150	150	魔龙射手	250	20	30
66	150	150	魔龙刀兵	250	20	30
66	150	150	魔龙破甲兵	250	20	30
;-------------------------------------------------------------强力
66	150	150	魔龙射手1	250	10	30
66	150	150	魔龙刀兵1	250	10	30
66	150	150	魔龙破甲兵1	250	10	30
66	150	150	魔龙战将	200	1	40
66	150	150	魔龙巨蛾	200	1	40
66	150	150	魔龙力士	200	1	40
;-------------------------------------------------------------大爆
66	150	150	魔龙邪眼0	250	2	20
66	150	150	魔龙血蛙0	250	2	20
66	150	150	魔龙刺蛙0	250	2	20
66	150	150	魔龙射手0	250	2	30
66	150	150	魔龙刀兵0	250	2	30
66	150	150	魔龙破甲兵0	250	2	30
66 	210 	70 	魔龙教主 	3	1 	120 1
;〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓


;╔┄┄┄┄╗
;┆镇 妖 塔┆
;╚┄┄┄┄╝

ZYT1     20      20       楔蛾8               5       10    15
ZYT1     20      20       角蝇                5       3     15
ZYT1     20      20       沃玛卫士2           5       5    30
ZYT1     20      20       镇妖塔①层BOOS      5       1    60


ZYT2     20      20       楔蛾8               5       5    15
ZYT2     20      20       角蝇                5       5    15
ZYT2     20      20       黑野猪3             5       10   15
ZYT2     20      20       邪恶毒蛇1           5       5    30
ZYT2     20      20       镇妖塔②层BOOS      5       1    60

ZYT3     20      20       月魔蜘蛛              5       5    30
ZYT3     20      20       花吻蜘蛛              5       5    30
ZYT3     20      20       幻影蜘蛛              5       5    30
ZYT3     20      20       邪恶巨人0             5       5    30
ZYT3     20      20       镇妖塔③层BOOS        5       1    60

                          
ZYT4     20      20       月魔蜘蛛              5       8    30
ZYT4     20      20       花吻蜘蛛              5       8    30
ZYT4     20      20       幻影蜘蛛              5       8    30
ZYT4     20      20       邪恶巨人0             5       5    30
ZYT4     20      20       镇妖塔④层BOOS        5       1    60


ZYT5     20      20       月魔蜘蛛              5       10    30
ZYT5     20      20       花吻蜘蛛              5       10    30
ZYT5     20      20       幻影蜘蛛              5        8    30
ZYT5     20      20       邪恶巨人0             5        5    30
ZYT5     20      20       镇妖塔⑤层BOOS          5       1    60


ZYT6     20      20       双头血魔               5       10    30
ZYT6     20      20       暗之双头金刚           5       10    30
ZYT6     20      20       月魔蜘蛛               5       10    30
ZYT6     20      23       镇妖塔⑥层BOOS         0       1     60



ZYT7     20      20       双头血魔               5       10    30
ZYT7     20      20       暗之双头金刚           5       10    30
ZYT7     20      20       月魔蜘蛛               5       10    30
ZYT7     22      24       镇妖塔⑦层BOOS         0       1     60



ZYT8     20      20       双头血魔               5       10    30
ZYT8     20      20       暗之双头金刚           5       10    30
ZYT8     20      20       月魔蜘蛛               5       10    30
ZYT8     20      20       镇妖塔⑧层BOOS         2       1    60


ZYT9     20      20       双头血魔               5       10    30
ZYT9     20      20       暗之双头金刚           5       10    30
ZYT9     20      20       月魔蜘蛛               5       10    30
ZYT9     20      20       镇妖塔⑨层BOOS         5       1    60
 

ZYT10     20      20       双头血魔               5       10    30
ZYT10     20      20       暗之双头金刚           5       10    30
ZYT10     20      20       月魔蜘蛛               5       10    30
ZYT10     20      20       镇妖塔⑩层BOOS         5       1    90

ZYT11     20      20       月魔蜘蛛              5       15    30
ZYT11     20      20       暗之双头金刚          5       5    30
ZYT11     20      20       千年粽子              5       3    60
ZYT11     20      20       镇妖塔·神龙          5       1    120

ZYT12     20      20       月魔蜘蛛              5       15    30
ZYT12     20      20       暗之双头金刚          5       5    30
ZYT12     20      20       魁拔尸王              5       3    60
ZYT12     20      20       镇妖塔·之主          5       1    120
;迷踪雾林
slsl01    60  60   迷踪月魔蜘蛛  30  10  20
slsl01    60  60   迷踪暴牙蜘蛛  30  10  20
slsl01    60  60   迷踪钢牙蜘蛛  30  10  20
slsl01    60  60   迷踪天狼蜘蛛  30  10  20
slsl01    60  60   迷踪血巨人    30   3  30
slsl01    60  50   迷踪邪恶巨人   5   1  60

slsl02    50  50   迷踪月魔蜘蛛  30  10  20
slsl02    50  50   迷踪黑锷蜘蛛  30  10  20
slsl02    50  50   迷踪钢牙蜘蛛  30  10  20
slsl02    50  50   迷踪花吻蜘蛛  30  10  20
slsl02    50  50   迷踪血巨人    30   5  30
slsl02    50  50   迷踪双头血魔   5   1  60
slsl02    50  50   迷踪双头金刚   5   1  60

slsl03    83  42   迷踪赤月恶魔   0   1  60
slsl03    73  54   迷踪月魔蜘蛛   5   15  20
slsl03    73  54   迷踪花吻蜘蛛   15   3  20
slsl03    73  54   迷踪黑锷蜘蛛   15   3  20
slsl03    73  54   迷踪血巨人   15   3  20
slsl03    73  54   迷踪双头血魔   15   2  20
slsl03    73  54   迷踪双头金刚   15   2  20
slsl03    50  50   迷踪黑锷蜘蛛  30  10  20
slsl03    50  50   迷踪钢牙蜘蛛  30  10  20
slsl03    50  50   迷踪花吻蜘蛛  30  10  20
slsl03    60  60   迷踪暴牙蜘蛛  30  10  20
slsl03    60  60   迷踪钢牙蜘蛛  30  10  20
slsl03    60  60   迷踪天狼蜘蛛  30  10  20
;墓场

QXLHG 25    26    尸蹩            15    20     20
QXLHG 25    26    墓穴恶蛆        15    10     20
QXLHG 25    26    墓穴毒蛾        15    5      20
QXLHG 25    26    尸蹩王          15    1      60

QXLHG1 50    50    尸蹩            50    30     20
QXLHG1 50    50    墓穴恶蛆        50    20     20
QXLHG1 50    50    墓穴毒蛾        50    15     20
QXLHG1 50    50    墓穴老鼠        50    15     20
QXLHG1 50    50    普通粽子        50    15     20
QXLHG1 50    50    尸蹩王          15    1      60

QXLHG2 50    50    尸蹩            50    10     20
QXLHG2 50    50    墓穴恶蛆        50    10     20
QXLHG2 50    50    墓穴毒蛾        50    15     20
QXLHG2 50    50    墓穴老鼠        50    15     20
QXLHG2 50    50    普通粽子        50    15     20
QXLHG2 50    50    恶灵粽子        50    15     20
QXLHG2 50    50    残肢粽子        50    15     20
QXLHG2 50    50    尸蹩王          15    1      60

QXLHG3 50    50    墓穴恶蛆        50    20     20
QXLHG3 50    50    墓穴毒蛾        50    20     20
QXLHG3 50    50    墓穴老鼠        50    15     20
QXLHG3 50    50    普通粽子        50    15     20
QXLHG3 50    50    恶灵粽子        50    15     20
QXLHG3 50    50    残肢粽子        50    15     20
QXLHG3 50    50    亡僧粽子        50    15     20
QXLHG3 50    50    魁拔            15    1      60


QXLHG4 50    50    墓穴恶蛆        50    20     20
QXLHG4 50    50    墓穴毒蛾        50    20     20
QXLHG4 50    50    墓穴老鼠        50    20     20
QXLHG4 50    50    普通粽子        50    15     20
QXLHG4 50    50    恶灵粽子        50    15     20
QXLHG4 50    50    残肢粽子        50    15     20
QXLHG4 50    50    亡僧粽子        50    15     20
QXLHG4 50    50    尸魅粽子        50    15     20
QXLHG4 50    50    魁拔            15    1      60

QXLHG5 50    50    墓穴恶蛆        50    20     20
QXLHG5 50    50    墓穴毒蛾        50    20     20
QXLHG5 50    50    墓穴老鼠        50    20     20
QXLHG5 50    50    普通粽子        50    15     20
QXLHG5 50    50    恶灵粽子        50    15     20
QXLHG5 50    50    残肢粽子        50    15     20
QXLHG5 50    50    亡僧粽子        50    15     20
QXLHG5 50    50    尸魅粽子        50    15     20
QXLHG5 50    50    尸蹩王          15    1      60
QXLHG5 50    50    千年粽子        15    1      60


QXLHG6 50    50    墓穴恶蛆        50    20     20
QXLHG6 50    50    墓穴毒蛾        50    30     20
QXLHG6 50    50    墓穴老鼠        50    20     20
QXLHG6 50    50    普通粽子        50    15     20
QXLHG6 50    50    恶灵粽子        50    15     20
QXLHG6 50    50    残肢粽子        50    15     20
QXLHG6 50    50    亡僧粽子        50    15     20
QXLHG6 50    50    尸魅粽子        50    15     20
QXLHG6 50    50    魁拔            15    1      60
QXLHG6 50    50    尸蹩王          15    1      60
QXLHG6 50    50    千年粽子        15    1      60


QXLHG7 50    50    墓穴毒蛾        5     10     20
QXLHG7 50    50    墓穴恶蛆        30    10     20
QXLHG7 50    50    墓穴毒蛾        30    10     20
QXLHG7 50    50    墓穴老鼠        30    10     20
QXLHG7 50    50    普通粽子        30    15     20
QXLHG7 50    50    恶灵粽子        30    15     20
QXLHG7 50    50    残肢粽子        30    15     20
QXLHG7 50    50    亡僧粽子        30    15     20
QXLHG7 50    50    尸魅粽子        30    15     20
QXLHG7 24    23    魁拔             3    1      60
QXLHG7 77    23    尸蹩王           3    1      60
QXLHG7 80    77    千年粽子         3    1      60
QXLHG7 22    77    魁拔尸王         3    1      60




;比齐城
0111  8     12    练功师          0     1     10

;白日门馆长屋
1002  12    12    虎卫            5     1     30
;神泣
sqzd01 50    50    祖玛雕像        50    10     6
sqzd01 50    50    祖玛卫士0       50    15    10
sqzd01 50    50    牛魔祭祀88      50    15     8
sqzd01 50    50    楔蛾8           50    10     10
sqzd01 50    50    祖玛雕像        50    10    11
sqzd01 50    50    双头金刚        50     2    30
sqzd01 50    50    月魔蜘蛛        20    20     10 
sqzd01 50    50    祖玛弓箭手      50    15    10
sqzd01 50    50    暗之赤月恶魔      50    1    30
sqzd01 50    50    祖玛雕像        50     5    10
sqzd01 50    50    牛魔将军88      50     5    10
sqzd01 50    50    祖玛弓箭手      50     5    10
sqzd01 50    50    赤月恶魔        50     1    30
sqzd01 50    50    双头血魔        50     2    30
sqzd01 90    21    神泣恶魔     0     1    60

sqzd02 50    50    祖玛雕像        50    10    6
sqzd02 50    50    祖玛卫士        50    10    7
sqzd02 50    50    牛魔祭祀88      50    10    8
sqzd02 50    50    月魔蜘蛛        50    3     9
sqzd02 50    50    祖玛雕像       50    10    11
sqzd02 50    50    月魔蜘蛛       30    20    10 
sqzd02 50    50    双头金刚       50    2     30
sqzd02 50    50    祖玛弓箭手     50    10    10
sqzd02 50    50    暗之赤月恶魔      50    1    30
sqzd02 50    50    祖玛雕像       50    5     10
sqzd02 50    50    牛魔将军88     50    5    10
sqzd02 50    50    祖玛弓箭手     50    5    10
sqzd02 50    50    赤月恶魔       50    1    30
sqzd02 50    50    双头血魔       50    2    30
sqzd02 60    10    神泣恶魔        0    1    60

sqzd03 50    50    祖玛雕像        50    10    6
sqzd03 50    50    祖玛卫士        50    10    7
sqzd03 50    50    牛魔祭祀88      50    10    8
sqzd03 50    50    月魔蜘蛛        50    20     9
sqzd03 50    50    祖玛雕像       50    10    11
sqzd03 50    50    双头金刚       50    2    30
sqzd03 50    50    祖玛弓箭手     50    10    10
sqzd03 50    50    祖玛雕像       50    5     10
sqzd03 50    50    楔蛾8           50    20     10 
sqzd03 50    50    牛魔将军88      50    5    10
sqzd03 50    50    地藏魔王        50     1     60
sqzd03 50    50    祖玛弓箭手      50    5    10
sqzd03 50    50    赤月恶魔        50    1    30
sqzd03 50    50    暗之赤月恶魔      50    1    30
sqzd03 50    50    双头血魔     50    2    30
sqzd03 50    50    牛魔王       50    1    30
sqzd03 50    50    黄泉教主     50    1    30
sqzd03 77    16    神泣恶魔       0    1    60

sqzd04  22    20    神泣脑魔            20    1     30
sqzd04  73    22    神泣教主            10     1     60
sqzd04  22    20    地藏魔王        50     1     30
sqzd04  22    20    幽冥教主        50     1     60
sqzd04  22    20    重装使者        50     1     40
sqzd04  22    20    暗之赤月老魔      50     1     40
sqzd04  22    20    勋章使者        50     1     30
sqzd04  22    20    暗之白野猪      50     1     30
sqzd04  22    20    暗之邪恶毒蛇      50     1     30
sqzd04  22    20    暗之沃玛教主     50     1     30
sqzd04  22    20    暗之骷髅精灵     50     1     30
sqzd04  22    20    暗之双头金刚     50     1     30
sqzd04  22    20    暗之双头血魔     50     1     30
sqzd04  22    20    暗之黄泉教主     50     1     30
sqzd04  22    20    暗之虹魔教主     50     1     30
sqzd04  22    20    千年树妖         10      1     30
sqzd04  22    20    月魔蜘蛛         25      5     10
sqzd04  22    20    邪恶巨人         50     4      15


;比奇大地图
0     665   87    弓箭护卫        0     1     10
0     666   86    弓箭护卫        0     1     10
0     671   94    弓箭护卫        0     1     10
0     672   93    弓箭护卫        0     1     10

;毒蛇山谷大地图
2     417   558   弓箭护卫        0     1     10
2     416   559   弓箭护卫        0     1     10
2     423   566   弓箭护卫        0     1     10
2     424   565   弓箭护卫        0     1     10


;比奇大地图
0     340   513   弓箭护卫        0     1     10
0     341   514   弓箭护卫        0     1     10

0     367   487   弓箭护卫        0     1     10
0     368   488   弓箭护卫        0     1     10

0     318   244   弓箭护卫        0     1     10
