;地图 x y 名称 范围 数量 时间 集中刷几率(0~100) 刷新模式(0~1) 集中点X 集中点Y
;代码	X	Y	名称	范围	数量	时间
5	143	324	弓箭守卫	0	1	1
11	43	480	弓箭守卫	0	1	1
11	49	474	弓箭守卫	0	1	1
11	353	246	弓箭守卫	0	1	1
11	357	243	弓箭守卫	0	1	1
12	327	468	弓箭守卫	0	1	1
12	320	474	弓箭守卫	0	1	1
E605	10	61	弓箭守卫	0	1	20
E605	15	68	弓箭守卫	0	1	20
D601	13	196	弓箭守卫	0	1	20
D601	7	201	弓箭守卫	0	1	20
E601	139	13	弓箭守卫	0	1	20
E601	138	12	弓箭守卫	0	1	20
D422	332	380	弓箭守卫	0	1	20
D422	328	384	弓箭守卫	0	1	20

;━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
;地图名：新手练级



0 214 628    稻草人              20    80    1
0 214 628    钉耙猫0              20    80    1
0 214 628    多钩猫              20   80    1
0 214 628    多钩猫0              20    80    1
0 214 628    钉耙猫              20    80    1


0 210 622    鸡              200    2   5
0 210 622    稻草人              2000   3    5
0 210 622    鹿              200    3    11
0 210 622    钉耙猫0              2000   3   5
0 210 622    多钩猫              2000    2   5
0 210 622    多钩猫0              2000    2    5
0 210 622    钉耙猫              2000    2    5


0 226 635    鸡              200    2   5
0 226 635    稻草人              2000    3    5
0 226 635    鹿              200    2   5
0 226 635    钉耙猫0              2000    2    5
0 226 635    多钩猫              2000    2    5
0 226 635    多钩猫0              2000    2    5
0 226 635    钉耙猫              2000    2    5


0 218 649    鸡              300    2    3
0 218 649    稻草人              4000    2    3
0 218 649    鹿              500    2    3
0 218 649    钉耙猫0              3000    2    3
0 218 649    多钩猫              4000    2    3
0 218 649    多钩猫0              5000    2    3
0 218 649    钉耙猫              4000    2    3


;━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━	


;比奇大城内





;特殊


H007A	94	16	半兽人7	2	30	10
H007A	90	10	半兽人7	2	30	10
H007A	86	24	半兽人7	2	30	10
H007A	82	28	半兽人7	2	30	10
H007A	78	32	半兽人7	2	30	10
H007A	74	36	半兽人7	2	30	10
H007A	70	40	半兽人7	2	30	10
H007A	66	44	半兽人7	2	15	10
H007A	62	48	半兽人7	2	15	10
H007A	58	52	半兽人7	2	15	10
H007A	54	56	半兽人7	2	15	10
H007A	50	60	半兽人7	2	15	10
H007A	46	64	半兽人7	2	15	10
H007A	42	68	半兽人7	2	15	10
H007A	38	72	半兽人7	2	15	10
H007A	34	76	半兽人7	2	15	10
H007A	30	80	半兽人7	2	15	10
H007A	26	84	半兽人7	2	15	10
H007A	22	88	半兽人7	2	15	10
H007A	18	92	半兽人7	2	15	10
H007A	14	96	半兽人7	2	15	10
H007A	15	100	半兽人7	2	15	10
H007A	12	103	半兽人7	2	15	10
H007A	16	107	半兽人7	2	15	10
H007A	20	111	半兽人7	2	15	10
H007A	24	115	半兽人7	2	15	10
H007A	28	119	半兽人7	2	15	10
H007A	32	123	半兽人7	2	15	10
H007A	36	127	半兽人7	2	15	10
H007A	40	131	半兽人7	2	15	10
H007A	44	135	半兽人7	2	15	10
H007A	48	139	半兽人7	2	15	10
H007A	52	143	半兽人7	2	15	10
H007A	56	147	半兽人7	2	15	10
H007A	60	151	半兽人7	2	15	10
H007A	64	155	半兽人7	2	15	10
H007A	68	159	半兽人7	2	15	10
H007A	72	163	半兽人7	2	15	10
H007A	76	167	半兽人7	2	15	10
H007A	80	171	半兽人7	2	15	10
H007A	84	175	半兽人7	2	15	10
H007A	88	179	半兽人7	2	15	10
H007A	92	183	半兽人7	2	15	10
H007A	96	187	半兽人7	2	15	10
H007A	97	189	半兽人7	2	5	10
H007A	101	186	半兽人7	2	15	10
H007A	105	182	半兽人7	2	15	10
H007A	109	178	半兽人7	2	15	10
H007A	113	174	半兽人7	2	15	10
H007A	117	170	半兽人7	2	15	10
H007A	121	166	半兽人7	2	15	10
H007A	125	162	半兽人7	2	15	10
H007A	129	158	半兽人7	2	15	10
H007A	133	154	半兽人7	2	15	10
H007A	137	150	半兽人7	2	15	10
H007A	141	146	半兽人7	2	15	10
H007A	145	142	半兽人7	2	15	10
H007A	149	138	半兽人7	2	15	10
H007A	153	134	半兽人7	2	15	10
H007A	157	130	半兽人7	2	15	10
H007A	161	126	半兽人7	2	15	10
H007A	165	122	半兽人7	2	15	10
H007A	169	118	半兽人7	2	15	10
H007A	173	114	半兽人7	2	15	10
H007A	177	110	半兽人7	2	15	10
H007A	181	106	半兽人7	2	15	10
H007A	185	102	半兽人7	2	15	10
H007A	188	99	半兽人7	2	15	10
H007A	155	170	半兽人7	10	50	10
H007A	184	93	半兽人7	2	10	10
H007A	180	89	半兽人7	2	10	10
H007A	176	85	半兽人7	2	10	10
H007A	172	81	半兽人7	2	10	10
H007A	168	77	半兽人7	2	10	10
H007A	164	73	半兽人7	2	10	10
H007A	160	69	半兽人7	2	10	10
H007A	156	65	半兽人7	2	10	10
H007A	152	61	半兽人7	2	10	10
H007A	148	57	半兽人7	2	10	10
H007A	144	53	半兽人7	2	10	10
H007A	140	49	半兽人7	2	10	10
H007A	136	45	半兽人7	2	10	10
H007A	132	41	半兽人7	2	10	10
H007A	128	37	半兽人7	2	10	10
H007A	124	33	半兽人7	2	10	10
H007A	120	29	半兽人7	2	10	10
H007A	36	85	半兽战士7	2	10	10
H007A	40	89	半兽战士7	2	15	10
H007A	42	89	电僵王7	0	2	10
H007A	39	90	魔龙教主	0	1	60
H007A	36	93	半兽战士7	2	15	10
H007A	32	101	半兽战士7	2	15	10
H007A	36	105	半兽战士7	2	15	10
H007A	40	109	半兽战士7	2	15	10
H007A	44	113	半兽战士7	2	15	10
H007A	48	117	半兽战士7	2	15	10
H007A	52	121	半兽战士7	2	15	10
H007A	56	124	半兽战士7	2	15	10
H007A	60	129	半兽战士7	2	15	10
H007A	64	133	半兽战士7	2	15	10
H007A	68	137	半兽战士7	2	15	10
H007A	72	141	半兽战士7	2	15	10
H007A	76	145	半兽战士7	2	15	10
H007A	80	149	半兽战士7	2	15	10
H007A	84	153	半兽战士7	2	15	10
H007A	88	157	半兽战士7	2	15	10
H007A	92	161	半兽战士7	2	15	10
H007A	96	164	半兽战士7	2	15	10
H007A	101	167	半兽战士7	2	10	10
H007A	105	163	半兽战士7	2	10	10
H007A	109	159	半兽战士7	2	10	10
H007A	113	155	半兽战士7	2	10	10
H007A	117	151	半兽战士7	2	10	10
H007A	121	147	半兽战士7	2	10	10
H007A	125	143	半兽战士7	2	10	10
H007A	129	139	半兽战士7	2	10	10
H007A	133	135	半兽战士7	2	10	10
H007A	137	131	半兽战士7	2	10	10
H007A	141	127	半兽战士7	2	10	10
H007A	145	123	半兽战士7	2	10	10
H007A	149	119	半兽战士7	2	10	10
H007A	153	115	半兽战士7	2	10	10
H007A	157	111	半兽战士7	2	10	10
H007A	161	107	半兽战士7	2	10	10
H007A	165	104	半兽战士7	2	10	10
H007A	168	98	半兽战士7	2	10	10
H007A	164	93	半兽战士7	2	10	10
H007A	160	89	半兽战士7	2	10	10
H007A	156	85	半兽战士7	2	10	10
H007A	152	81	半兽战士7	2	10	10
H007A	148	77	半兽战士7	2	10	10
H007A	144	73	半兽战士7	2	10	10
H007A	140	69	半兽战士7	2	10	10
H007A	136	65	半兽战士7	2	10	10
H007A	132	61	半兽战士7	2	10	10
H007A	128	57	半兽战士7	2	10	10
H007A	124	53	半兽战士7	2	10	10
H007A	120	49	半兽战士7	2	10	10
H007A	116	45	半兽战士7	2	10	10
H007A	112	41	半兽战士7	2	10	10
H007A	108	37	半兽战士7	2	10	10
H007A	104	34	半兽战士7	2	10	10
H007A	101	30	半兽战士7	2	10	10
H007A	97	33	半兽战士7	2	10	10
H007A	93	37	半兽战士7	2	10	10
H007A	89	41	半兽战士7	2	10	10
H007A	85	45	半兽战士7	2	10	10
H007A	81	49	半兽战士7	2	10	10
H007A	77	53	半兽战士7	2	10	10
H007A	73	57	半兽战士7	2	10	10
H007A	69	60	暗之魔龙战将	0	1	120
H007A	83	60	电僵王7	0	2	10
H007A	69	61	半兽战士7	2	10	10
H007A	65	65	半兽战士7	2	10	10
H007A	61	69	半兽战士7	2	10	10
H007A	57	73	半兽战士7	2	10	10
H007A	83	61	恶灵僵尸7	2	15	10
H007A	85	64	恶灵僵尸7	2	15	10
H007A	81	69	恶灵僵尸7	2	15	10
H007A	77	73	恶灵僵尸7	2	15	10
H007A	73	77	恶灵僵尸7	2	15	10
H007A	69	81	恶灵僵尸7	2	15	10
H007A	65	85	恶灵僵尸7	2	15	10
H007A	61	89	恶灵僵尸7	2	15	10
H007A	57	93	恶灵僵尸7	2	15	10
H007A	53	97	恶灵僵尸7	2	15	10
H007A	57	103	恶灵僵尸7	2	15	10
H007A	61	107	恶灵僵尸7	2	15	10
H007A	65	111	恶灵僵尸7	2	15	10
H007A	69	115	恶灵僵尸7	2	15	10
H007A	73	119	恶灵僵尸7	2	15	10
H007A	77	123	恶灵僵尸7	2	15	10
H007A	81	127	恶灵僵尸7	2	15	10
H007A	85	131	恶灵僵尸7	2	15	10
H007A	89	135	恶灵僵尸7	2	15	10
H007A	93	139	恶灵僵尸7	2	15	10
H007A	97	143	恶灵僵尸7	2	15	10
H007A	101	147	恶灵僵尸7	2	15	10
H007A	105	143	恶灵僵尸7	2	15	10
H007A	109	139	恶灵僵尸7	2	15	10
H007A	113	135	恶灵僵尸7	2	15	10
H007A	117	131	恶灵僵尸7	2	15	10
H007A	121	127	恶灵僵尸7	2	15	10
H007A	125	123	恶灵僵尸7	2	15	10
H007A	129	119	恶灵僵尸7	2	15	10
H007A	133	115	恶灵僵尸7	2	15	10
H007A	137	111	恶灵僵尸7	2	15	10
H007A	141	107	恶灵僵尸7	2	15	10
H007A	145	103	恶灵僵尸7	2	15	10
H007A	149	99	恶灵僵尸7	2	10	10
H007A	145	95	恶灵僵尸7	2	10	10
H007A	141	91	恶灵僵尸7	2	10	10
H007A	137	87	恶灵僵尸7	2	10	10
H007A	133	83	恶灵僵尸7	2	10	10
H007A	129	79	恶灵僵尸7	2	10	10
H007A	125	75	恶灵僵尸7	2	10	10
H007A	121	71	恶灵僵尸7	2	10	10
H007A	117	67	恶灵僵尸7	2	10	10
H007A	113	63	恶灵僵尸7	2	10	10
H007A	109	59	恶灵僵尸7	2	10	10
H007A	105	55	恶灵僵尸7	2	10	10
H007A	101	51	恶灵僵尸7	2	10	10
H007A	101	49	电僵王7	0	2	10
H007A	97	52	恶灵僵尸7	2	10	10
H007A	93	56	恶灵僵尸7	2	10	10
H007A	89	60	恶灵僵尸7	2	10	10
H007A	118	107	骷髅长枪兵7	2	5	10
H007A	118	107	骷髅刀斧手7	2	8	10
H007A	114	111	骷髅长枪兵7	2	5	10
H007A	114	111	骷髅刀斧手7	2	8	10
H007A	110	115	骷髅长枪兵7	2	5	10
H007A	110	115	骷髅刀斧手7	2	8	10
H007A	106	119	骷髅长枪兵7	2	5	10
H007A	106	119	骷髅刀斧手7	2	8	10
H007A	100	125	骷髅刀斧手7	2	8	10
H007A	102	123	骷髅长枪兵7	2	5	10
H007A	102	123	骷髅长枪兵7	2	5	10
H007A	96	121	骷髅刀斧手7	2	8	10
H007A	96	121	骷髅长枪兵7	2	15	10
H007A	92	117	骷髅刀斧手7	2	8	10
H007A	92	117	骷髅长枪兵7	2	15	10
H007A	88	114	骷髅刀斧手7	2	8	10
H007A	88	114	骷髅长枪兵7	2	15	10
H007A	84	110	骷髅刀斧手7	2	8	10
H007A	84	110	骷髅长枪兵7	2	15	10
H007A	80	106	骷髅刀斧手7	2	8	10
H007A	80	106	骷髅长枪兵7	2	15	10
H007A	76	102	骷髅刀斧手7	2	8	10
H007A	76	102	骷髅长枪兵7	2	15	10
H007A	72	98	骷髅刀斧手7	2	8	10
H007A	72	98	骷髅长枪兵7	2	15	10
H007A	70	98	暗之魔龙力士	0	1	180
H007A	70	98	双头血魔	0	1	180
H007A	77	93	骷髅长枪兵7	0	10	10
H007A	77	93	骷髅刀斧手7	2	8	10
H007A	81	89	骷髅长枪兵7	2	15	10
H007A	81	89	骷髅刀斧手7	2	8	10
H007A	85	85	骷髅长枪兵7	2	15	10
H007A	85	85	骷髅刀斧手7	2	8	10
H007A	89	81	骷髅长枪兵7	2	15	10
H007A	89	81	骷髅刀斧手7	2	8	10
H007A	93	77	骷髅长枪兵7	2	15	10
H007A	93	77	骷髅刀斧手7	2	8	10
H007A	97	73	骷髅长枪兵7	2	15	10
H007A	97	73	骷髅刀斧手7	2	8	10
H007A	101	69	骷髅长枪兵7	2	15	10
H007A	101	69	骷髅刀斧手7	2	8	10
H007A	101	74	骷髅长枪兵7	2	5	10
H007A	113	78	骷髅刀斧手7	2	8	10
H007A	119	84	骷髅刀斧手7	2	8	10
H007A	125	90	骷髅刀斧手7	2	8	10
H007A	101	96	骷髅锤兵7	5	60	10
H007A	130	97	电僵王7	2	2	10
H007A	126	99	骷髅长枪兵7	2	5	10
H007A	126	99	骷髅刀斧手7	2	8	10
H007A	122	103	骷髅长枪兵7	2	5	10
H007A	122	103	骷髅刀斧手7	0	15	10
H007A	57	146	重装使者7	0	1	180
H007A	31	122	双头金刚	0	1	180
H007A	71	138	牛魔王	0	1	180
H007A	155	70	暗之魔龙教主	0	1	120
H007A	103	70	暗之魔龙巨蛾	0	1	180
H007A	94	16	半兽人7	2	20	20
H007A	90	20	半兽人7	2	20	20
H007A	86	24	半兽人7	2	20	20
H007A	82	28	半兽人7	2	20	20
H007A	78	32	半兽人7	2	20	20
H007A	74	36	半兽人7	2	20	20
H007A	70	40	半兽人7	2	20	20
H007A	66	44	半兽人7	2	20	20
H007A	62	48	半兽人7	2	20	20
H007A	58	52	半兽人7	2	20	20
H007A	54	56	半兽人7	2	20	20
H007A	50	60	半兽人7	2	20	20
H007A	46	64	半兽人7	2	20	20
H007A	42	68	半兽人7	2	20	20
H007A	38	72	半兽人7	2	20	20
H007A	34	76	半兽人7	2	20	20
H007A	20	80	半兽人7	2	20	20
H007A	26	84	半兽人7	2	20	20
H007A	22	88	半兽人7	2	20	20
H007A	18	92	半兽人7	2	20	20
H007A	14	96	半兽人7	2	20	20
H007A	10	100	半兽人7	2	20	20
H007A	12	103	半兽人7	2	20	20
H007A	16	107	半兽人7	2	30	20
H007A	20	111	半兽人7	2	30	20
H007A	24	115	半兽人7	2	30	20
H007A	28	119	半兽人7	2	30	20
H007A	32	123	半兽人7	2	30	20
H007A	36	127	半兽人7	2	30	20
H007A	40	131	半兽人7	2	30	20
H007A	44	135	半兽人7	2	30	20
H007A	48	139	半兽人7	2	30	20
H007A	52	143	半兽人7	2	30	20
H007A	56	147	半兽人7	2	30	20
H007A	60	151	半兽人7	2	30	20
H007A	64	155	半兽人7	2	30	20
H007A	68	159	半兽人7	2	30	20
H007A	72	163	半兽人7	2	30	20
H007A	76	167	半兽人7	2	30	20
H007A	80	171	半兽人7	2	30	20
H007A	84	175	半兽人7	2	30	20
H007A	88	179	半兽人7	2	30	20
H007A	92	183	半兽人7	2	30	20
H007A	96	187	半兽人7	2	30	20
H007A	97	189	半兽人7	2	25	20
H007A	101	186	半兽人7	2	30	20
H007A	105	182	半兽人7	2	30	20
H007A	109	178	半兽人7	2	30	20
H007A	113	174	半兽人7	2	30	20
H007A	117	170	半兽人7	2	30	20
H007A	121	166	半兽人7	2	30	20
H007A	125	162	半兽人7	2	30	20
H007A	129	158	半兽人7	2	30	20
H007A	133	154	半兽人7	2	30	20
H007A	137	150	半兽人7	2	30	20
H007A	141	146	半兽人7	2	30	20
H007A	145	142	半兽人7	2	30	20
H007A	149	138	半兽人7	2	30	20
H007A	153	134	半兽人7	2	30	20
H007A	157	130	半兽人7	2	30	20
H007A	161	126	半兽人7	2	30	20
H007A	165	122	半兽人7	2	30	20
H007A	169	118	半兽人7	2	30	20
H007A	173	114	半兽人7	2	30	20
H007A	177	110	半兽人7	2	30	20
H007A	181	106	半兽人7	2	30	20
H007A	185	102	半兽人7	2	30	20
H007A	188	99	半兽人7	2	30	20
H007A	155	170	半兽人7	10	100	30
H007A	184	93	半兽人7	2	15	20
H007A	180	89	半兽人7	2	15	30
H007A	176	85	半兽人7	2	15	20
H007A	172	81	半兽人7	2	15	20
H007A	168	77	半兽人7	2	15	20
H007A	164	73	半兽人7	2	15	20
H007A	160	69	半兽人7	2	15	20
H007A	156	65	半兽人7	2	15	20
H007A	152	61	半兽人7	2	15	20
H007A	148	57	半兽人7	2	15	20
H007A	144	53	半兽人7	2	15	20
H007A	140	49	半兽人7	2	15	20
H007A	136	45	半兽人7	2	15	20
H007A	132	41	半兽人7	2	15	20
H007A	128	37	半兽人7	2	15	20
H007A	124	33	半兽人7	2	15	20
H007A	120	29	半兽人7	2	15	20
H007A	36	85	半兽战士7	2	15	20
H007A	40	89	半兽战士7	2	30	20
H007A	36	93	半兽战士7	2	30	20
H007A	32	101	半兽战士7	2	30	20
H007A	36	105	半兽战士7	2	30	20
H007A	40	109	半兽战士7	2	30	20
H007A	44	113	半兽战士7	2	30	20
H007A	48	117	半兽战士7	2	30	20
H007A	52	121	半兽战士7	2	30	20
H007A	56	124	半兽战士7	2	30	20
H007A	60	129	半兽战士7	2	30	20
H007A	64	133	半兽战士7	2	30	20
H007A	68	137	半兽战士7	2	30	20
H007A	72	141	半兽战士7	2	30	20
H007A	76	145	半兽战士7	2	30	20
H007A	80	149	半兽战士7	2	30	20
H007A	84	153	半兽战士7	2	30	20
H007A	88	157	半兽战士7	2	30	20
H007A	92	161	半兽战士7	2	30	20
H007A	96	164	半兽战士7	2	30	20
H007A	101	167	半兽战士7	2	10	15
H007A	105	163	半兽战士7	2	10	10
H007A	109	109	半兽战士7	2	10	10
H007A	113	155	半兽战士7	2	10	10
H007A	117	151	半兽战士7	2	10	10
H007A	121	147	半兽战士7	2	10	10
H007A	125	143	半兽战士7	2	10	10
H007A	129	139	半兽战士7	2	10	10
H007A	133	135	半兽战士7	2	10	10
H007A	137	131	半兽战士7	2	10	10
H007A	141	127	半兽战士7	2	10	10
H007A	145	123	半兽战士7	2	10	10
H007A	149	119	半兽战士7	2	10	10
H007A	153	115	半兽战士7	2	10	10
H007A	157	111	半兽战士7	2	10	10
H007A	161	107	半兽战士7	2	10	10
H007A	165	104	半兽战士7	2	10	10
H007A	168	98	半兽战士7	2	15	20
H007A	164	93	半兽战士7	2	15	20
H007A	160	89	半兽战士7	2	15	20
H007A	156	85	半兽战士7	2	15	20
H007A	152	81	半兽战士7	2	15	20
H007A	148	77	半兽战士7	2	15	20
H007A	144	73	半兽战士7	2	15	20
H007A	140	69	半兽战士7	2	15	20
H007A	136	65	半兽战士7	2	15	20
H007A	132	61	半兽战士7	2	15	20
H007A	128	57	半兽战士7	2	15	20
H007A	124	53	半兽战士7	2	15	20
H007A	120	49	半兽战士7	2	15	20
H007A	116	45	半兽战士7	2	15	20
H007A	112	41	半兽战士7	2	15	20
H007A	108	37	半兽战士7	2	15	20
H007A	104	34	半兽战士7	2	15	20
H007A	101	30	半兽战士7	2	15	20
H007A	97	33	半兽战士7	2	15	20
H007A	93	37	半兽战士7	2	15	20
H007A	89	41	半兽战士7	2	15	20
H007A	85	45	半兽战士7	2	15	20
H007A	81	49	半兽战士7	2	15	20
H007A	77	53	半兽战士7	2	15	20
H007A	73	57	半兽战士7	2	15	20
H007A	69	61	半兽战士7	2	15	20
H007A	65	65	半兽战士7	2	15	20
H007A	61	69	半兽战士7	2	15	20
H007A	57	73	半兽战士7	2	15	20
H007A	83	61	恶灵僵尸7	2	30	20
H007A	85	64	恶灵僵尸7	2	30	20
H007A	81	69	恶灵僵尸7	2	30	20
H007A	77	73	恶灵僵尸7	2	30	20
H007A	73	77	恶灵僵尸7	2	30	20
H007A	69	81	恶灵僵尸7	2	30	20
H007A	65	85	恶灵僵尸7	2	30	20
H007A	61	89	恶灵僵尸7	2	30	20
H007A	57	93	恶灵僵尸7	2	30	20
H007A	53	97	恶灵僵尸7	2	30	20
H007A	57	103	恶灵僵尸7	2	30	20
H007A	61	107	恶灵僵尸7	2	30	20
H007A	65	111	恶灵僵尸7	2	30	20
H007A	69	115	恶灵僵尸7	2	30	20
H007A	73	119	恶灵僵尸7	2	30	20
H007A	77	123	恶灵僵尸7	2	30	20
H007A	81	127	恶灵僵尸7	2	30	20
H007A	85	131	恶灵僵尸7	2	30	20
H007A	89	135	恶灵僵尸7	2	30	20
H007A	93	139	恶灵僵尸7	2	30	20
H007A	97	143	恶灵僵尸7	2	30	20
H007A	101	147	恶灵僵尸7	2	30	20
H007A	105	143	恶灵僵尸7	2	30	20
H007A	109	139	恶灵僵尸7	2	30	20
H007A	113	135	恶灵僵尸7	2	30	20
H007A	117	131	恶灵僵尸7	2	30	20
H007A	121	127	恶灵僵尸7	2	30	20
H007A	125	123	恶灵僵尸7	2	30	20
H007A	129	119	恶灵僵尸7	2	30	20
H007A	133	115	恶灵僵尸7	2	30	20
H007A	137	111	恶灵僵尸7	2	30	20
H007A	141	107	恶灵僵尸7	2	30	20
H007A	145	103	恶灵僵尸7	2	30	20
H007A	149	99	恶灵僵尸7	2	15	20
H007A	145	95	恶灵僵尸7	2	15	20
H007A	141	91	恶灵僵尸7	2	15	20
H007A	137	87	恶灵僵尸7	2	15	20
H007A	133	83	恶灵僵尸7	2	15	20
H007A	129	79	恶灵僵尸7	2	15	20
H007A	125	75	恶灵僵尸7	2	15	20
H007A	121	71	恶灵僵尸7	2	15	20
H007A	117	67	恶灵僵尸7	2	15	20
H007A	113	63	恶灵僵尸7	2	15	20
H007A	109	59	恶灵僵尸7	2	15	20
H007A	105	55	恶灵僵尸7	2	15	20
H007A	101	51	恶灵僵尸7	2	15	20
H007A	97	52	恶灵僵尸7	2	15	20
H007A	93	56	恶灵僵尸7	2	15	20
H007A	89	60	恶灵僵尸7	2	15	20
H007A	118	107	骷髅长枪兵7	2	15	20
H007A	118	107	骷髅刀斧手7	2	8	20
H007A	114	111	骷髅长枪兵7	2	15	20
H007A	114	111	骷髅刀斧手7	2	8	20
H007A	110	115	骷髅长枪兵7	2	15	20
H007A	110	115	骷髅刀斧手7	2	8	20
H007A	106	119	骷髅长枪兵7	2	15	20
H007A	106	119	骷髅刀斧手7	2	8	20
H007A	100	125	骷髅刀斧手7	2	8	20
H007A	102	123	骷髅长枪兵7	2	15	20
H007A	102	123	骷髅长枪兵7	2	15	20
H007A	96	121	骷髅刀斧手7	2	8	20
H007A	96	121	骷髅长枪兵7	2	15	20
H007A	92	117	骷髅刀斧手7	2	8	20
H007A	92	117	骷髅长枪兵7	2	15	20
H007A	88	114	骷髅刀斧手7	2	8	20
H007A	88	114	骷髅长枪兵7	2	15	20
H007A	84	110	骷髅刀斧手7	2	8	20
H007A	84	110	骷髅长枪兵7	2	15	20
H007A	80	106	骷髅刀斧手7	2	8	20
H007A	80	106	骷髅长枪兵7	2	15	20
H007A	76	102	骷髅刀斧手7	2	8	20
H007A	76	102	骷髅长枪兵7	2	15	20
H007A	72	98	骷髅刀斧手7	2	8	20
H007A	72	98	骷髅长枪兵7	2	15	20
H007A	77	93	骷髅长枪兵7	2	15	20
H007A	77	93	骷髅刀斧手7	2	8	20
H007A	81	89	骷髅长枪兵7	2	15	20
H007A	81	89	骷髅刀斧手7	2	8	20
H007A	85	85	骷髅长枪兵7	2	15	20
H007A	85	85	骷髅刀斧手7	2	8	20
H007A	89	81	骷髅长枪兵7	2	15	20
H007A	89	81	骷髅刀斧手7	2	8	20
H007A	93	77	骷髅长枪兵7	2	15	20
H007A	93	77	骷髅刀斧手7	2	8	20
H007A	97	73	骷髅长枪兵7	2	15	20
H007A	97	73	骷髅刀斧手7	2	8	20
H007A	101	69	骷髅长枪兵7	2	15	20
H007A	101	69	骷髅刀斧手7	2	8	20
H007A	101	74	骷髅长枪兵7	2	5	10
H007A	113	78	骷髅刀斧手7	2	8	20
H007A	119	84	骷髅刀斧手7	2	8	20
H007A	125	90	骷髅刀斧手7	2	8	20
H007A	101	96	骷髅锤兵7	5	60	10
H007A	126	99	骷髅长枪兵7	2	5	10
H007A	126	99	骷髅刀斧手7	2	8	20
H007A	122	103	骷髅长枪兵7	2	5	10
H007A	122	103	骷髅刀斧手7	2	8	20



;========================================================================
;地下练级
H008A	65	157	重装使者7	5	1	180
H008A	70	98	双头血魔	2	1	60
H008A	47	139	双头金刚	4	1	60
H008A	70	98	暗之魔龙力士	2	1	60
H008A	80	50	暗之魔龙战将	2	1	60
H008A	155	170	暗之魔龙巨蛾	2	1	60
H008A	70	98	牛魔王	10	1	60
H008A	25	25	暗之魔龙教主	10	1	120
H008A	25	30	暗之双头血魔	10	1	60
H008A	25	30	暗之双头金刚	10	1	60
H008A	25	30	暗之黄泉脚注	10	1	60
H008A	25	30	暗之骷髅精灵	10	1	60
H008A	25	30	暗之虹魔脚注	10	1	60
H008A	30	25	暗之沃玛教主	10	1	60
